operator,street,postcode,city,lat,lon,current,kw,plug,prices_eur_per_kwh,points_per_price,ratio,energy_rate_ids,site_id,evse_ids_cheapest_first
MobilityPlus,Leuvensesteenweg 186,3290,Diest,50.967598,5.032276,AC,7.4,iec62196T2,0.3327 / 0.9184,2 / 1,2.76,GRP-140905 GRP-141034,MobilityPlus-BEMOBL37170,BE*MBP*E1325*2=0.3327(available) BE*MBP*E1325*1=0.3327(available) BE*MBP*E1601*3=0.9184(available)
D’Ieteren Energy,Avenue des Déportés 32,5070,Fosses-La-Ville,50.393275,4.683435,AC,7.4,iec62196T2,0.4318 / 1.1495,4 / 10,2.66,386218273 542734609,D’Ieteren Energy-88924904,NLLMSE1234680433*2=0.4318(unknown) NLLMSE1234680436*2=0.4318(unknown) NLLMSE1234680436*1=0.4318(unknown) NLLMSE1234680433*1=0.4318(unknown) NLLMSE1234681098*1=1.1495(available) NLLMSE1234681098*2=1.1495(available) NLLMSE1234816675*2=1.1495(available) NLLMSE1234816679*1=1.1495(available) NLLMSE1234816675*1=1.1495(available) NLLMSE1234681117*2=1.1495(available) NLLMSE1234816678*2=1.1495(available) NLLMSE1234681117*1=1.1495(available) NLLMSE1234816679*2=1.1495(available) NLLMSE1234816678*1=1.1495(available)
MobilityPlus,Industriepark De Bruwaan 93,9700,Oudenaarde,50.868571,3.603635,AC,7.4,iec62196T2,0.3327 / 0.7986,2 / 1,2.40,BEMBPT10839 GRP-253,MobilityPlus-BEMOBL103155,BE*MBP*E3851*2=0.3327(available) BE*MBP*E3851*1=0.3327(available) BE*MBP*E3850*2=0.7986(available)
MobilityPlus,Herkenrodesingel 8/a,3500,Hasselt,50.94154,5.32067,AC,7.4,iec62196T2,0.3993 / 0.4658 / 0.9184,14 / 2 / 1,2.30,GRP-101 GRP-140914 GRP-141034,MobilityPlus-BEMOBL25337,BE*MBP*E2434*2=0.3993(available) BE*MBP*E2430*2=0.3993(available) BE*MBP*E14047*2=0.3993(available) BE*MBP*E2431*1=0.3993(available) BE*MBP*E2454*1=0.3993(available) BE*MBP*E2434*1=0.3993(available) BE*MBP*E14047*1=0.3993(available) BE*MBP*E2454*2=0.3993(available) BE*MBP*E2430*1=0.3993(available) BE*MBP*E2431*2=0.3993(available) BE*MBP*E5558*2=0.3993(available) BE*MBP*E14048*2=0.3993(available) BE*MBP*E14048*1=0.3993(available) BE*MBP*E5558*1=0.3993(available) BE*MBP*E898*2=0.4658(available) BE*MBP*E898*1=0.4658(available) BE*MBP*E1882*3=0.9184(available)
Eneco,Haachtsesteenweg 83,1820,Steenokkerzeel,50.91987,4.50509,AC,22.0,iec62196T2,0.3993 / 0.9075,1 / 2,2.27,WS075 XS02,Eneco-EC5054CC-ED63-4EE2-BA6A-3E815B417C73,BE*ENE*EENECO*G35276*1=0.3993(available) BE*ENE*EENECO*G37371*1=0.9075(available) BE*ENE*EENECO*G37371*2=0.9075(outOfOrder)
MobilityPlus,Andre Dumontlaan 146,3600,Genk,50.992577,5.535866,AC,7.4,iec62196T2,0.4658 / 0.9982,2 / 1,2.14,GRP-140914 GRP-82361,MobilityPlus-BEMOBL25463,BE*MBP*E865*2=0.4658(available) BE*MBP*E865*1=0.4658(available) BE*MBP*E864*2=0.9982(available)
MobilityPlus,Blanklaerstraat 5,3290,Diest,51.007463,5.112249,AC,7.4,iec62196T2,0.4658 / 0.9982,14 / 1,2.14,GRP-140914 GRP-82361,MobilityPlus-BEMOBL25464,BE*MBP*E15923*1=0.4658(available) BE*MBP*E15922*2=0.4658(available) BE*MBP*E15921*1=0.4658(available) BE*MBP*E15919*2=0.4658(available) BE*MBP*E15920*1=0.4658(available) BE*MBP*E15918*2=0.4658(available) BE*MBP*E15919*1=0.4658(available) BE*MBP*E15923*2=0.4658(available) BE*MBP*E15921*2=0.4658(available) BE*MBP*E882*1=0.4658(available) BE*MBP*E15920*2=0.4658(available) BE*MBP*E15918*1=0.4658(available) BE*MBP*E15922*1=0.4658(available) BE*MBP*E882*2=0.4658(available) BE*MBP*E884*2=0.9982(available)
MobilityPlus,Spookvliegerlaan 1111,3800,Sint-Truiden,50.800945,5.205626,AC,7.4,iec62196T2,0.4658 / 0.9982,2 / 1,2.14,GRP-140914 GRP-82361,MobilityPlus-BEMOBL25457,BE*MBP*E873*1=0.4658(available) BE*MBP*E873*2=0.4658(charging) BE*MBP*E872*2=0.9982(available)
MobilityPlus,Gerard Mercatorstraat 1,3920,Lommel,51.214861,5.261258,AC,7.4,iec62196T2,0.4658 / 0.9982,2 / 1,2.14,GRP-140914 GRP-82361,MobilityPlus-BEMOBL25467,BE*MBP*E895*2=0.4658(available) BE*MBP*E895*1=0.4658(available) BE*MBP*E889*2=0.9982(available)
Pluginvest,Mechelsesteenweg 150,2018,Antwerpen,51.205642,4.409841,AC,7.4,iec62196T2,0.3678 / 0.7744,4 / 1,2.11,484856464 544436920,Pluginvest-90304822,NLLMSE1234645831*1=0.3678(charging) NLLMSE1234644601*1=0.3678(available) NLLMSE1234663141*1=0.3678(available) NLLMSE1234644602*1=0.3678(unknown) NLLMSE1234714303*1=0.7744(charging)
