defect_type,evse_id,connector_id,party_id,detail,latitude,longitude
power_impossible,NL*ENE*EENECO*G33410*1,1,ENE,AC_3_PHASE 230Vx32A max_electric_power=7360000W (7360.0kW); AC cannot exceed ~22.1kW,51.2722,4.03972
power_impossible,NL*ENE*EENECO*G33410*2,2,ENE,AC_3_PHASE 230Vx32A max_electric_power=7360000W (7360.0kW); AC cannot exceed ~22.1kW,51.2722,4.03972
power_impossible,NL*ENE*EENECO*G33823*1,1,ENE,AC_1_PHASE 230Vx32A max_electric_power=7360000W (7360.0kW); AC cannot exceed ~7.4kW,51.94906,4.4337
power_impossible,NL*ENE*EENECO*G33823*2,2,ENE,AC_1_PHASE 230Vx32A max_electric_power=7360000W (7360.0kW); AC cannot exceed ~7.4kW,51.94906,4.4337
power_impossible,NL*ENE*EENECO*G36939*1,1,ENE,AC_3_PHASE 230Vx32A max_electric_power=7360000W (7360.0kW); AC cannot exceed ~22.1kW,51.910466,4.47235
power_impossible,NL*ENE*EENECO*G36939*2,2,ENE,AC_3_PHASE 230Vx32A max_electric_power=7360000W (7360.0kW); AC cannot exceed ~22.1kW,51.910466,4.47235
power_impossible,NL*ENE*EENECO*G36940*1,1,ENE,AC_3_PHASE 230Vx32A max_electric_power=7360000W (7360.0kW); AC cannot exceed ~22.1kW,51.910466,4.47235
power_impossible,NL*ENE*EENECO*G36940*2,2,ENE,AC_3_PHASE 230Vx32A max_electric_power=7360000W (7360.0kW); AC cannot exceed ~22.1kW,51.910466,4.47235
power_impossible,NL*ENE*EENECO*G771624*1,1,ENE,AC_3_PHASE 230Vx32A max_electric_power=2222000W (2222.0kW); AC cannot exceed ~22.1kW,51.90962,4.47164
power_impossible,NL*ENE*EEVB*P1402500*1,1,ENE,AC_3_PHASE 230Vx33A max_electric_power=7590000W (7590.0kW); AC cannot exceed ~22.8kW,53.31322,6.98355
power_impossible,NL*ENE*EEVB*P1402500*2,2,ENE,AC_3_PHASE 230Vx32A max_electric_power=7360000W (7360.0kW); AC cannot exceed ~22.1kW,53.31322,6.98355
power_impossible,NL*ENE*EEVB*P1402500*3,3,ENE,AC_3_PHASE 230Vx32A max_electric_power=7360000W (7360.0kW); AC cannot exceed ~22.1kW,53.31322,6.98355
